iter	Passed	Remaining
0	268	134218
1	413	102979
2	551	91342
3	749	92933
4	874	86582
5	987	81281
6	1087	76584
7	1179	72516
8	1274	69526
9	1371	67218
10	1468	65286
11	1572	63935
12	1664	62373
13	1763	61202
14	1852	59908
15	1933	58498
16	2020	57412
17	2120	56772
18	2214	56072
19	2301	55227
20	2415	55101
21	2522	54797
22	2605	54042
23	2697	53503
24	2784	52909
25	2878	52476
26	2969	52015
27	3082	51961
28	3182	51681
29	3277	51352
30	3379	51125
31	3469	50736
32	3566	50464
33	3659	50162
34	3755	49893
35	3843	49542
36	3928	49155
37	4013	48795
38	4119	48695
39	4215	48478
40	4301	48160
41	4396	47940
42	4485	47671
43	4578	47445
44	4677	47295
45	4776	47141
46	4878	47019
47	4969	46795
48	5063	46606
49	5151	46365
50	5247	46196
51	5345	46050
52	5434	45831
53	5515	45556
54	5600	45311
55	5687	45094
56	5772	44866
57	5862	44676
58	5952	44489
59	6033	44244
60	6119	44041
61	6204	43833
62	6296	43673
63	6382	43481
64	6470	43303
65	6563	43163
66	6647	42959
67	6741	42827
68	6824	42630
69	6911	42458
70	7005	42326
71	7090	42150
72	7173	41961
73	7260	41798
74	7345	41623
75	7430	41452
76	7519	41305
77	7605	41147
78	7696	41014
79	7792	40908
80	7886	40793
81	7972	40640
82	8062	40505
83	8146	40344
84	8241	40236
85	8330	40104
86	8422	39984
87	8514	39861
88	8619	39805
89	8708	39672
90	8804	39572
91	8885	39405
92	8972	39266
93	9077	39208
94	9169	39092
95	9261	38974
96	9352	38858
97	9443	38737
98	9525	38581
99	9626	38506
100	9719	38397
101	9819	38314
102	9916	38221
103	10006	38102
104	10094	37975
105	10185	37861
106	10283	37771
107	10380	37678
108	10470	37558
109	10561	37446
110	10649	37322
111	10734	37187
112	10819	37054
113	10910	36942
114	11001	36831
115	11101	36749
116	11198	36657
117	11294	36562
118	11387	36458
119	11469	36320
120	11566	36228
121	11663	36138
122	11745	36001
123	11833	35883
124	11930	35792
125	12023	35690
126	12117	35590
127	12200	35457
128	12293	35355
129	12390	35266
130	12484	35166
131	12573	35053
132	12661	34937
133	12755	34838
134	12847	34736
135	12945	34647
136	13031	34529
137	13114	34402
138	13208	34302
139	13309	34224
140	13400	34118
141	13490	34011
142	13584	33913
143	13676	33811
144	13769	33712
145	13864	33616
146	13951	33502
147	14045	33405
148	14142	33315
149	14229	33201
150	14324	33106
151	14418	33010
152	14504	32896
153	14589	32778
154	14678	32671
155	14768	32567
156	14865	32476
157	14951	32362
158	15036	32248
159	15126	32143
160	15222	32051
161	15318	31960
162	15414	31870
163	15498	31752
164	15590	31653
165	15684	31556
166	15761	31428
167	15848	31318
168	15932	31205
169	16020	31098
170	16103	30982
171	16189	30872
172	16274	30761
173	16355	30643
174	16446	30544
175	16532	30434
176	16614	30318
177	16695	30201
178	16783	30097
179	16867	29987
180	16964	29898
181	17048	29787
182	17135	29682
183	17218	29570
184	17301	29459
185	17389	29356
186	17475	29250
187	17564	29149
188	17646	29037
189	17740	28945
190	17822	28832
191	17905	28723
192	17995	28625
193	18073	28506
194	18159	28403
195	18257	28318
196	18342	28212
197	18433	28114
198	18515	28005
199	18598	27898
200	18679	27787
201	18764	27681
202	18851	27581
203	18931	27469
204	19018	27368
205	19107	27269
206	19198	27175
207	19288	27078
208	19390	26998
209	19490	26915
210	19588	26830
211	19691	26750
212	19799	26678
213	19894	26587
214	19988	26496
215	20093	26419
216	20174	26310
217	20257	26205
218	20354	26116
219	20438	26013
220	20520	25906
221	20598	25793
222	20675	25681
223	20755	25574
224	20837	25468
225	20915	25357
226	20995	25250
227	21078	25146
228	21165	25047
229	21253	24950
230	21336	24845
231	21411	24733
232	21491	24628
233	21579	24530
234	21663	24428
235	21746	24327
236	21830	24225
237	21910	24119
238	21994	24019
239	22076	23916
240	22154	23809
241	22232	23702
242	22315	23601
243	22398	23499
244	22480	23397
245	22559	23293
246	22646	23196
247	22727	23094
248	22821	23004
249	22898	22898
250	22975	22792
251	23056	22690
252	23139	22590
253	23210	22479
254	23286	22373
255	23373	22278
256	23454	22176
257	23532	22073
258	23616	21975
259	23696	21874
260	23776	21771
261	23857	21671
262	23930	21565
263	24012	21465
264	24095	21368
265	24177	21268
266	24261	21171
267	24346	21076
268	24434	20982
269	24513	20882
270	24594	20782
271	24675	20683
272	24759	20587
273	24839	20488
274	24914	20384
275	24983	20276
276	25070	20182
277	25151	20084
278	25233	19987
279	25328	19900
280	25411	19804
281	25494	19708
282	25576	19611
283	25652	19510
284	25748	19424
285	25837	19332
286	25922	19239
287	26004	19142
288	26084	19044
289	26175	18954
290	26266	18865
291	26366	18781
292	26470	18701
293	26575	18620
294	26673	18535
295	26768	18448
296	26860	18358
297	26955	18271
298	27050	18184
299	27151	18101
300	27258	18021
301	27350	17932
302	27443	17843
303	27541	17757
304	27635	17668
305	27732	17582
306	27834	17498
307	27938	17415
308	28040	17332
309	28139	17246
310	28241	17162
311	28342	17077
312	28456	17001
313	28555	16914
314	28654	16828
315	28743	16736
316	28835	16646
317	28930	16557
318	29025	16468
319	29138	16390
320	29236	16303
321	29328	16212
322	29424	16124
323	29523	16037
324	29612	15945
325	29707	15856
326	29793	15762
327	29891	15674
328	29981	15583
329	30101	15506
330	30205	15422
331	30320	15342
332	30451	15271
333	30560	15188
334	30670	15106
335	30774	15020
336	30881	14936
337	30975	14846
338	31070	14756
339	31182	14674
340	31299	14593
341	31418	14514
342	31518	14426
343	31625	14341
344	31740	14260
345	31848	14175
346	31947	14086
347	32064	14005
348	32177	13921
349	32347	13863
350	32473	13785
351	32579	13698
352	32697	13616
353	32799	13527
354	32915	13444
355	33075	13378
356	33221	13307
357	33407	13250
358	33530	13169
359	33652	13087
360	33744	12992
361	33866	12910
362	34026	12842
363	34130	12752
364	34231	12661
365	34329	12568
366	34427	12476
367	34521	12382
368	34633	12295
369	34743	12207
370	34865	12123
371	34974	12034
372	35077	11943
373	35165	11847
374	35286	11762
375	35399	11674
376	35499	11581
377	35589	11486
378	35685	11393
379	35770	11295
380	35869	11203
381	35959	11107
382	36057	11015
383	36157	10922
384	36266	10832
385	36349	10735
386	36437	10639
387	36534	10545
388	36628	10451
389	36734	10360
390	36832	10267
391	36933	10175
392	37020	10079
393	37112	9984
394	37206	9890
395	37281	9791
396	37375	9696
397	37469	9602
398	37562	9508
399	37656	9414
400	37753	9320
401	37842	9225
402	37927	9128
403	38022	9035
404	38110	8939
405	38192	8842
406	38283	8747
407	38373	8652
408	38461	8557
409	38560	8464
410	38654	8370
411	38749	8276
412	38842	8182
413	38928	8086
414	39020	7992
415	39119	7899
416	39206	7803
417	39305	7710
418	39403	7617
419	39508	7525
420	39615	7433
421	39702	7338
422	39788	7242
423	39875	7147
424	39968	7053
425	40060	6958
426	40145	6863
427	40245	6770
428	40352	6678
429	40465	6587
430	40552	6492
431	40665	6401
432	40757	6306
433	40851	6212
434	40936	6117
435	41024	6021
436	41104	5925
437	41188	5830
438	41279	5735
439	41344	5637
440	41441	5544
441	41537	5450
442	41640	5357
443	41730	5263
444	41821	5168
445	41904	5073
446	41989	4978
447	42077	4883
448	42156	4788
449	42242	4693
450	42316	4597
451	42394	4502
452	42494	4408
453	42582	4314
454	42670	4220
455	42754	4125
456	42845	4031
457	42934	3937
458	43018	3842
459	43108	3748
460	43197	3654
461	43276	3559
462	43361	3465
463	43442	3370
464	43527	3276
465	43617	3182
466	43785	3094
467	43854	2998
468	43934	2903
469	44021	2809
470	44111	2716
471	44206	2622
472	44293	2528
473	44379	2434
474	44472	2340
475	44560	2246
476	44653	2153
477	44730	2058
478	44820	1965
479	44905	1871
480	44987	1777
481	45070	1683
482	45149	1589
483	45238	1495
484	45314	1401
485	45397	1307
486	45481	1214
487	45558	1120
488	45649	1026
489	45730	933
490	45815	839
491	45894	746
492	45973	652
493	46052	559
494	46136	466
495	46217	372
496	46303	279
497	46380	186
498	46468	93
499	46556	0
